ED_BarrageInfector|瘟疫霰射吐珠
ED_Bomber|黏液轰炸蝇
ED_Bomber_Child|黏液轰炸蝇
ED_Bomber_Explosive|火焰轰炸蝇
ED_Bomber_Ice|冰霜轰炸蝇
ED_Bomber_Rockpox_Plague|岩痘黏液轰炸蝇
ED_CaveLeech|洞穴水蛭
ED_Crawler|匍行核岩孽生兽
ED_EggSpider|蜂拥异虫
ED_FacilityTurret_Barrier|推斥炮塔
ED_FacilityTurret_Burst|连射炮塔
ED_FacilityTurret_Sniper|狙击炮塔
ED_Flea|脓蚤
ED_FlyingSmartRock|飞石
ED_Grabber|捕手异虫蝇
ED_GreatEggHunt_SpringBunny|春日兔兔
ED_Halloween_Skull|万圣节头骨
ED_InfectedMule|BET-C
ED_InfestationLarva|肉食幼虫
ED_InsectSwarm_Spawner|雷鸣蜂巢
ED_Jelly_Spawn|纳多赛特水母幼体
ED_Jelly_Swarmer|纳多赛特电胞水母
ED_JellyBreeder|纳多赛特饲育水母
ED_JellyBreeder_RockpoxPlague|岩痘纳多赛特饲育水母
ED_Mactera_Shooter_Amber|氪化吐刺异虫蝇
ED_Mactera_Shooter_HeavyVeteran|坚甲异虫蝇
ED_Mactera_Shooter_Normal|吐刺异虫蝇
ED_Mactera_TripleShooter|三颚异虫蝇
ED_Nisse|圣诞小精灵
ED_PatrolBot|巡逻机器人
ED_PatrolBot_Caretaker|巡逻机器人
ED_PlagueLarva|岩痘幼虫
ED_PlagueShark|成熟岩痘幼虫
ED_Prospector|勘探者无人机
ED_PumpkinLootBug|掠夺虫
ED_Shark|纳亚卡鲨虫
ED_ShootingPlant|瘟疫吐珠
ED_Shredder|粉碎者
ED_Spider_Amber_Shooter|氪化吐酸异虫
ED_Spider_Boss_Heavy|巢主无畏异虫
ED_Spider_Boss_TwinA|强弩无畏异虫
ED_Spider_Boss_TwinB|重斧无畏异虫
ED_Spider_Buffer|异虫典狱长
ED_Spider_Charger|禁卫异虫
ED_Spider_Drone|
ED_Spider_Exploder|自爆异虫
ED_Spider_Exploder_Rockpox_Plague|岩痘自爆异虫
ED_Spider_Exploder_Warning|自爆异虫
ED_Spider_ExploderTank|大自爆虫
ED_Spider_ExploderTank_King|自爆王虫
ED_Spider_ExploderTankGhost|未知恐怖
ED_Spider_Grunt|战士异虫
ED_Spider_Grunt_Normal|战士异虫
ED_Spider_Grunt_Attacker|刀锋异虫
ED_Spider_Grunt_Guard|护卫异虫
ED_Spider_Grunt_Ice|战士异虫
ED_Spider_Grunt_Mutated|战士异虫
ED_Spider_Grunt_Rock|矿化战士异虫
ED_Spider_Grunt_Rock_Warning|矿化战士异虫
ED_Spider_Grunt_RockpoxPlague|岩痘战士异虫
ED_Spider_GruntTutorial|战士异虫
ED_Spider_Hoarder|嗜矿异虫
ED_Spider_Lobber|脓毒异虫
ED_Spider_RapidShooter|速射酸虫
ED_Spider_ShieldTank|暴君异虫
ED_Spider_Shooter|吐酸异虫
ED_Spider_Shooter_Normal|吐酸异虫
ED_Spider_Shooter_Ground|吐酸异虫
ED_Spider_Shooter_Rockpox_Plague|岩痘吐酸异虫
ED_Spider_ShooterQueen|酸液虫后
ED_Spider_Spawn|异虫幼虫
ED_Spider_Spitter|吐丝异虫
ED_Spider_Stalker|潜影异虫
ED_Spider_Stinger|蛭尾异虫
ED_Spider_Swarmer|蜂拥异虫
ED_Spider_Swarmer_Ice|蜂拥异虫
ED_Spider_Swarmer_Mutated|蜂拥异虫
ED_Spider_Swarmer_Pheromone_NOFX|蜂拥异虫
ED_Spider_Tank|禁卫异虫
ED_Spider_Tank_Amber|氪化禁卫异虫
ED_Spider_Tank_Boss|无畏异虫
ED_Spider_Tank_HeavySpawn|哨卫异虫
ED_Spider_Tank_Ice|寒霜禁卫异虫
ED_Spider_Tank_Mutated|禁卫异虫
ED_Spider_Tank_Rock|矿化禁卫异虫
ED_Spider_Tank_Rock_Warning|矿化禁卫异虫
ED_Spider_Tank_RockpoxPlague|岩痘禁卫异虫
ED_SpiderSpawner|异虫母巢
ED_TentaclePlant|瓦托克鳞甲荆丛
ED_Terminator|深渊复仇者
ED_TunnelSwarmer|蜂拥异虫
ED_WalkingPlagueheart|噬岩腐化者
ED_Woodlouse|丘罗那地虱
ED_Woodlouse_Youngling|地虱幼体
ED_FacilityCaretaker|看守者
ED_FacilityTentacle_Burrowing|机械副肢
ED_FacilityTentacle_End|机械副肢
ED_JellyBreeder_Normal|纳多赛特饲育水母
ED_Spider_Grunt_Radioactive|战士异虫
ED_Spider_Tank_Radioactive|禁卫异虫
ED_Spider_Grunt_Guard_Radioactive|护卫异虫
ED_Spider_Grunt_Attacker_Radioactive|刀锋异虫
ED_Spider_Swarmer_Radioactive|蜂拥异虫
ED_Spider_Tank_Normal|禁卫异虫
ED_Spider_Boss_HeavySpawn|哨卫异虫
ED_Spider_Swarmer_Pheromoned|蜂拥异虫
ED_HydraWeed_Core|科洛克王草
ED_ShootingPlant_Small|科洛克新芽
ED_SmallShootingPlant_RegenPod|科洛克治疗荚实
ED_TentacleNode|瓦托克鳞甲荆节
