RES_VEIN_Croppa|铜矿
RES_VEIN_Dystrum|异镝
RES_VEIN_Gold|黄金
RES_VEIN_Iron|霍铁
RES_VEIN_Morkite|墨菱石
RES_VEIN_Nitra|硝石
RES_CARVED_Bismor|蜂母石
RES_CARVED_Hollomite|容和石
RES_CARVED_Magnite|吸铁石
RES_CARVED_OilShale|油页岩
RES_CARVED_Phazyonite|方晶辉石
RES_CARVED_Quantrite|宏量石
RES_CARVED_Umanite|乌玛石
RES_COLLECT_Apoca_Bloom|彼岸花
RES_COLLECT_BhaBarnacle|巴氏藤壶
RES_COLLECT_Boolo|布洛蘑菇
RES_COLLECT_Barley1|大麦球果
RES_COLLECT_Barley2|酵母松果
RES_COLLECT_Barley3|麦芽星果
RES_COLLECT_Barley4|淀粉坚果
RES_COLLECT_Ebonut|硬胶果实
RES_COLLECT_Egg|虫蛋
RES_COLLECT_Fossil|化石
RES_COLLECT_GunkSeed|黏液种子
RES_COLLECT_MorkiteSeed|墨菱种子
RES_EMBED_Aquarq|水痕碑石
RES_EMBED_Bittergem|辛宝石
RES_EMBED_Compressed_Gold|压缩黄金
RES_EMBED_Enor|妙绝珠
RES_EMBED_EscortGem|奥魔兰心石
RES_EMBED_Jadiz|玉石
